date,ward_id,ward_code,ward_name,demand_liters,dry_pipe_hours,historical_deficit,scenario_flag,synthetic,seed,generator_version,generated_at
2026-08-14,1,M/E,Govandi / Mankhurd / Shivaji Nagar,32889,56.8,0.85,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,2,G/N,Dharavi / Mahim / Dadar West,27032,47.1,0.75,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,3,L,Kurla / Asalpha / Sakinaka,24682,51.0,0.69,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,4,P/N,Malad / Marve / Malvani,20185,43.0,0.58,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,5,F/N,Matunga / Sion / Wadala,15145,45.0,0.57,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,6,H/E,Bandra East / Santacruz East,13886,38.5,0.51,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,7,S,Bhandup / Kanjurmarg / Powai,16021,38.5,0.47,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,8,K/E,Andheri East / Marol,14117,37.1,0.51,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,9,N,Ghatkopar / Pant Nagar,12034,32.1,0.5,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,10,P/S,Goregaon West & East,10003,34.7,0.4,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,11,M/W,Chembur West / Tilak Nagar,10211,29.9,0.37,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,12,R/S,Kandivali West & East,8775,30.4,0.41,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,13,T,Mulund / Nahur,6716,31.1,0.34,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,14,R/C,Borivali / Gorai,8244,25.0,0.31,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,15,K/W,Andheri West / Versova,5800,5.0,0.13,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,16,R/N,Dahisar / Mandapeshwar,5691,24.8,0.31,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,17,E,Byculla / Mazgaon / Nagpada,4912,29.7,0.38,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,18,F/S,Parel / Sewri / Lalbaug,4062,26.4,0.35,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,19,G/S,Worli / Lower Parel,4143,18.7,0.25,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,20,B,Sandhurst Road / Dongri,2946,18.4,0.27,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,21,H/W,Bandra West / Khar,3642,10.5,0.24,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,22,C,Marine Lines / Chandanwadi,3406,19.7,0.27,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,23,A,Colaba / Fort / Nariman Point,2595,11.7,0.17,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-14,24,D,Malabar Hill / Walkeshwar,400,4.9,0.14,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,1,M/E,Govandi / Mankhurd / Shivaji Nagar,32566,59.3,0.84,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,2,G/N,Dharavi / Mahim / Dadar West,28071,52.5,0.7,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,3,L,Kurla / Asalpha / Sakinaka,23044,46.4,0.61,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,4,P/N,Malad / Marve / Malvani,20309,42.8,0.56,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,5,F/N,Matunga / Sion / Wadala,15546,44.2,0.53,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,6,H/E,Bandra East / Santacruz East,13903,34.6,0.51,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,7,S,Bhandup / Kanjurmarg / Powai,16277,39.6,0.52,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,8,K/E,Andheri East / Marol,12592,38.6,0.5,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,9,N,Ghatkopar / Pant Nagar,10904,36.7,0.42,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,10,P/S,Goregaon West & East,9897,27.1,0.39,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,11,M/W,Chembur West / Tilak Nagar,9883,29.9,0.38,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,12,R/S,Kandivali West & East,9250,28.6,0.36,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,13,T,Mulund / Nahur,7642,25.9,0.35,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,14,R/C,Borivali / Gorai,7680,23.3,0.36,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,15,K/W,Andheri West / Versova,6439,4.7,0.09,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,16,R/N,Dahisar / Mandapeshwar,5776,27.7,0.36,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,17,E,Byculla / Mazgaon / Nagpada,5636,24.1,0.41,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,18,F/S,Parel / Sewri / Lalbaug,5689,25.9,0.34,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,19,G/S,Worli / Lower Parel,5430,17.5,0.23,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,20,B,Sandhurst Road / Dongri,3513,26.0,0.3,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,21,H/W,Bandra West / Khar,3700,13.5,0.22,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,22,C,Marine Lines / Chandanwadi,1846,14.4,0.28,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,23,A,Colaba / Fort / Nariman Point,852,14.3,0.16,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-15,24,D,Malabar Hill / Walkeshwar,2348,10.1,0.13,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,1,M/E,Govandi / Mankhurd / Shivaji Nagar,32554,49.7,0.77,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,2,G/N,Dharavi / Mahim / Dadar West,28924,51.1,0.68,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,3,L,Kurla / Asalpha / Sakinaka,22912,44.8,0.62,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,4,P/N,Malad / Marve / Malvani,19272,40.2,0.64,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,5,F/N,Matunga / Sion / Wadala,16386,41.5,0.54,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,6,H/E,Bandra East / Santacruz East,14453,34.3,0.58,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,7,S,Bhandup / Kanjurmarg / Powai,15395,37.8,0.55,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,8,K/E,Andheri East / Marol,11975,35.6,0.49,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,9,N,Ghatkopar / Pant Nagar,10023,37.9,0.46,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,10,P/S,Goregaon West & East,10264,29.6,0.42,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,11,M/W,Chembur West / Tilak Nagar,9078,30.5,0.41,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,12,R/S,Kandivali West & East,8068,31.9,0.43,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,13,T,Mulund / Nahur,6358,22.8,0.37,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,14,R/C,Borivali / Gorai,6652,27.0,0.32,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,15,K/W,Andheri West / Versova,5093,9.3,0.15,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,16,R/N,Dahisar / Mandapeshwar,7334,19.2,0.36,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,17,E,Byculla / Mazgaon / Nagpada,6375,23.7,0.31,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,18,F/S,Parel / Sewri / Lalbaug,4181,21.8,0.35,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,19,G/S,Worli / Lower Parel,4798,22.9,0.25,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,20,B,Sandhurst Road / Dongri,2847,19.9,0.3,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,21,H/W,Bandra West / Khar,4372,13.0,0.25,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,22,C,Marine Lines / Chandanwadi,1787,13.0,0.23,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,23,A,Colaba / Fort / Nariman Point,1244,17.0,0.2,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-16,24,D,Malabar Hill / Walkeshwar,545,12.7,0.16,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,1,M/E,Govandi / Mankhurd / Shivaji Nagar,31113,54.3,0.84,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,2,G/N,Dharavi / Mahim / Dadar West,28200,52.8,0.68,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,3,L,Kurla / Asalpha / Sakinaka,25192,50.9,0.64,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,4,P/N,Malad / Marve / Malvani,19055,47.8,0.57,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,5,F/N,Matunga / Sion / Wadala,14886,44.0,0.52,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,6,H/E,Bandra East / Santacruz East,13131,35.8,0.54,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,7,S,Bhandup / Kanjurmarg / Powai,15743,34.9,0.5,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,8,K/E,Andheri East / Marol,14161,38.5,0.53,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,9,N,Ghatkopar / Pant Nagar,11148,30.0,0.41,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,10,P/S,Goregaon West & East,10152,29.2,0.4,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,11,M/W,Chembur West / Tilak Nagar,7848,26.5,0.41,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,12,R/S,Kandivali West & East,9129,30.5,0.4,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,13,T,Mulund / Nahur,7425,29.4,0.38,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,14,R/C,Borivali / Gorai,6339,27.7,0.31,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,15,K/W,Andheri West / Versova,5971,11.4,0.12,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,16,R/N,Dahisar / Mandapeshwar,5134,21.1,0.31,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,17,E,Byculla / Mazgaon / Nagpada,5672,31.0,0.34,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,18,F/S,Parel / Sewri / Lalbaug,5589,27.3,0.27,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,19,G/S,Worli / Lower Parel,4911,21.1,0.23,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,20,B,Sandhurst Road / Dongri,3799,18.4,0.29,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,21,H/W,Bandra West / Khar,1817,16.4,0.25,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,22,C,Marine Lines / Chandanwadi,3908,20.6,0.24,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
2026-08-17,23,A,Colaba / Fort / Nariman Point,2512,7.3,0.13,SCENARIO_1_NORMAL,true,42,2.0.0,2026-09-18T12:00:00Z
